user_prompt,system_prompt
"What is the average lifespan of a giant Galapagos tortoise?","answer the question"
"How do noise-canceling headphones actually block out sound?","answer the question"
"Can you explain the plot of the movie Inception in three sentences?","answer the question"
"What are the primary differences between a hurricane, a typhoon, and a cyclone?","answer the question"
"If you could travel back in time to any historical era, where would you go and why?","answer the question"
"What is the most efficient way to learn a new programming language?","answer the question"
"How does the human brain decide which memories to keep and which to discard?","answer the question"
"What would happen if the Earth suddenly stopped rotating?","answer the question"
"Can you give me a simple recipe for authentic Italian carbonara?","answer the question"
"What are the leading theories on how the universe will eventually end?","answer the question"
